ServicingLenderName,ServicingLenderLocationID,LoanNumber,CurrentApprovalAmount,Estimated_LenderProfit,AverageLoanAmount
Dort Financial CU,98847,28,10457094.91,397587.35,373467.67535714287
Douglas National Bank,243909,35,15987398.55,535121.39,456782.8157142857
Dover FCU,93794,20,5928777.72,244900.61,296438.886
Downey FCU,91859,1,273337.5,13666.88,273337.5
Drake Bank,262368,59,29212151.38,920736.55,495121.20983050845
Dream First Bank National Association,26475,49,26989661.81,841616.0,550809.4246938776
DreamSpring,506410,90,18532114.43,926605.72,205912.38255555555
Du Quoin State Bank,21243,2,377800.95,18890.05,188900.475
DuGood Federal Credit Union,528910,4,1433413.33,50216.630000000005,358353.3325
DuPont Community CU,107422,32,7941750.26,345705.5,248179.695625
Dubuque Bank and Trust Company,24930,126,94282799.0,2531428.07,748276.1825396825
Dundee Bank,42041,86,36868944.61,1194866.11,428708.65825581393
Dupaco Community CU,96921,63,26897333.46,1022346.74,426941.800952381
"Durden Banking Co., Inc.",19758,20,8225617.11,305704.85,411280.8555
E-Central CU,92949,19,8594195.6,276950.08,452326.0842105263
EECU,105928,38,9697581.45,425969.46,255199.51184210525
EH National Bank,433170,43,18988000.0,638920.0,441581.3953488372
ELCA FCU,507957,12,2521683.7,126084.18,210140.30833333335
ELGA CU,98882,57,15028000.0,653566.0,263649.1228070175
ESB Bank,38029,5,1249475.82,62473.79,249895.16400000002
ESB Financial,25816,40,14973435.9,574733.84,374335.8975
ESL FCU,120761,225,148900637.05,4096692.01,661780.6091111111
ESSA Bank & Trust,78923,144,78300922.17,2349531.42,543756.4039583333
Eagle Bank,32779,13,4437794.91,174572.65,341368.83923076926
Eagle Bank,38125,8,10528212.26,173285.67,1316026.5325
Eagle Bank,87161,28,22532663.68,486031.9,804737.9885714286
Eagle Bank,442162,7,6319021.0,192860.63,902717.2857142857
Eagle Bank and Trust Company,4374,14,5279680.26,190881.4,377120.01857142855
EagleBank,122873,645,457741999.28,12304036.17,709677.5182635658
Earlham Savings Bank,24949,39,9620054.84,448676.21,246668.0728205128
East Cambridge Savings Bank,32730,81,27181752.11,1069891.86,335577.1865432099
East West Bank,119918,3314,2262473711.45,61807092.54,682701.7837809293
East Wisconsin Savings Bank,86700,1,245696.5,12284.83,245696.5
Eastern Bank,32987,2725,1505552683.44,45613968.4,552496.3975926606
Eastern Connecticut Savings Bank,78703,39,14914304.6,571585.33,382418.06666666665
Eastern Maine Development Corporation,188278,3,508226.02,25411.300000000003,169408.67333333334
Eastern Michigan Bank,33734,149,67379900.0,2293043.0,452214.0939597315
"Eastern Savings Bank, FSB",89314,34,17518261.08,595949.77,515242.97294117644
Eastern Utah Community FCU,106742,4,1209710.0,52088.2,302427.5
Easthampton Savings Bank,32766,176,69611926.54,2518709.46,395522.3098863637
Eastman CU,105483,3,2907711.24,45385.56,969237.0800000001
Eaton Community Bank,84362,14,9786876.68,280956.11,699062.62
Eaton Family CU,102866,2,691448.0,34572.4,345724.0
"Eclipse Bank, Inc.",436346,13,5976618.0,191070.0,459739.8461538461
Economic and Community Development Institute,443558,17,7567942.0,268137.78,445173.0588235294
Edison National Bank,122097,93,33973357.02,1314299.44,365304.91419354844
Edmonton State Bank,26977,40,14370167.64,530812.19,359254.191
Educators CU,108348,26,7256000.0,299758.0,279076.92307692306
Elderton State Bank,60143,31,15204651.0,527844.39,490472.6129032258
Elements Financial FCU,96399,8,1966050.04,82803.2,245756.255
Elevations CU,93460,8,2360025.48,105627.34,295003.185
Elgin State Bank,24963,1,248382.0,12419.1,248382.0
Elkhorn Valley Bank & Trust,42251,56,18079405.54,710385.1,322846.52749999997
Elko FCU,100604,25,7775924.45,314251.46,311036.978
Elkton Bank & Trust Company,26989,4,844955.32,42247.770000000004,211238.83
Elysian Bank,38043,1,248275.95,12413.8,248275.95
Embassy Bank for the Lehigh Valley,243892,158,69116378.9,2485982.37,437445.4360759494
Embassy National Bank,446492,15,5696215.08,203175.3,379747.672
Embers CU,99133,33,14748938.47,523137.03,446937.5293939394
Embold Federal Credit Union,103648,47,14611251.09,585055.6,310877.68276595743
Emery FCU,102883,5,1567030.26,59168.97,313406.052
Emigrant Bank,48902,251,241902255.19,5444904.36,963754.0047410359
Empeople Credit Union,95589,5,1203300.0,51737.0,240660.0
Empire Financial Federal Credit Union,111065,6,1741181.42,76825.19,290196.9033333333
Empire State Bank,378478,173,73985548.0,2613096.44,427662.12716763007
Empower FCU,101315,33,13762743.8,405275.77,417052.84242424247
Emprise Bank,26743,203,113706816.0,3429829.32,560132.0985221675
Encompass FCU,96747,2,457600.0,22880.0,228800.0
Endeavor Bank,518683,419,254932537.96,7868265.92,608430.8781861576
Englewood Bank & Trust,112136,31,11199037.0,426417.34,361259.2580645161
Ennis State Bank,69868,51,24318416.49,721988.84,476831.6958823529
Enrichment FCU,105276,17,8083977.0,279868.08999999997,475528.0588235294
Enterprise Bank,117161,71,32595323.32,1065670.85,459089.0608450704
Enterprise Bank,122687,125,57363000.62,1906091.65,458904.00496
Enterprise Bank & Trust,112407,2583,1565491276.59,46477604.47,606074.8263995354
Enterprise Bank and Trust Company,112598,1091,563584353.0,17693926.69,516575.9422548121
Enterprise Bank of South Carolina,65983,24,13224500.0,380559.0,551020.8333333334
Equitable Bank,88878,64,22852051.4,795019.89,357063.303125
Equity Bank,25667,873,516911026.88,15112485.03,592108.8509507446
Ergo Bank,76269,11,4377670.02,166647.85,397970.0018181818
Erie FCU,104115,3,538004.27,26900.2,179334.75666666668
Esquire Bank National Association,444153,77,36257401.05,1273171.14,470875.3383116883
Essential Credit Union,108894,12,2858260.4,142913.02,238188.36666666667
Essex Savings Bank,16143,42,16386698.77,633144.79,390159.4945238095
Eureka Savings Bank,79281,4,1251974.69,44503.65,312993.6725
"Evans Bank, National Association",46027,470,214026880.5,7110574.15,455376.3414893617
EverTrust Bank,119161,31,15202450.0,552347.5,490401.6129032258
Everence FCU,104341,6,1283695.81,64184.79,213949.30166666667
Everett Co-operative Bank,89066,31,8187484.32,356968.63,264112.3974193548
Evergreen Bank Group,124170,51,20733769.0,715190.31,406544.49019607843
Evergreen CU,97990,18,4257541.61,212877.08,236530.08944444446
Evergreen Federal Bank,80438,11,5706700.0,193123.0,518790.9090909091
Evergreen National Bank,15420,35,13916178.86,472953.04,397605.11028571427
Evolve Bank and Trust,4653,107,59357600.0,1816110.0,554743.9252336449
Exchange Bank,14799,612,282777813.95,9193014.39,462055.25155228755
Exchange Bank,19580,15,3371002.61,157742.14,224733.5073333333
Exchange Bank,42198,80,34695622.83,1073664.31,433695.285375
Exchange Bank and Trust,25684,44,17601608.15,539264.72,400036.54886363633
Exchange Bank and Trust Company,59217,23,7133617.87,293152.89,310157.29869565216
Exchange Bank of Missouri,41167,14,4265216.48,181719.96,304658.32
Exchange Bank of Northeast Missouri,41766,1,221076.0,11053.8,221076.0
Exchange State Bank,21626,4,1883235.92,67125.08,470808.98
Exchange State Bank,24529,1,274489.0,13724.45,274489.0
Exchange State Bank,24790,9,4444215.0,166172.21,493801.6666666667
"Extraco Banks, National Association",71966,102,46842288.28,1507075.27,459238.1203921569
F & C Bank,40641,19,6011600.0,247660.0,316400.0
F & M Bank,42173,3,679600.0,33980.0,226533.33333333334
F & M Bank,42709,37,10620047.06,442506.93,287028.29891891894
F & M Bank,58871,74,28689976.05,1050813.56,387702.37905405404
F & M Bank and Trust Company,19573,38,19797654.4,688389.35,520990.90526315785
"F & M Community Bank, National Association",38766,33,11548269.0,458359.45,349947.54545454547
F&M Bank,19808,32,15423355.620000001,489024.9,481979.86312500003
F&M Bank,66835,83,29230158.1,1137635.08,352170.5795180723
F&M Bank and Trust Company,87606,10,3006451.2800000003,126515.45,300645.128
FBT Bank & Mortgage,4294,7,2397176.37,101267.84,342453.76714285713
"FC Marketplace, LLC (dba Funding Circle)",529111,236,72590545.0,2951070.55,307587.05508474575
FCB Banks,116670,58,19334481.65,742848.28,333353.1318965517
"FCN Bank, National Association",22974,38,17350704.11,570230.14,456597.47657894733
FCNB Bank,41469,13,5032176.57,187249.74,387090.5053846154
FFB Bank,437389,373,224568377.83,6693373.18,602059.9941823056
FM Bank,38192,35,16202177.8,496039.45,462919.36571428576
FMB Bank,41769,1,312150.0,15607.5,312150.0
FMS Bank,15509,67,30351788.66,1058570.25,453011.77104477613
FNB Bank,25003,2,363514.20999999996,18175.71,181757.10499999998
FNB Bank,25919,16,5515946.45,210362.75,344746.653125
"FNB Bank, Inc.",27599,44,13035857.68,540247.01,296269.49272727274
"FNB Bank, Inc.",75394,16,6534821.0,235793.05,408426.3125
FNB Community Bank,59070,19,11174135.82,286214.87,588112.4115789473
FNB Coweta,58869,9,4998723.8,179805.75,555413.7555555556
FNB Oxford Bank,39657,48,17838989.26,698348.66,371645.60958333337
FNB Picayune Bank,39682,14,4405129.5,183827.17,314652.10714285716
FNB South,17811,38,21992138.71,591029.62,578740.492368421
FNB Washington,26647,4,4892500.0,93099.0,1223125.0
FNBC Bank,4099,52,18983627.0,726184.61,365069.75
FNBC Bank and Trust,22839,71,37816472.5,1156072.28,532626.3732394367
FNBT Bank,17104,31,8512967.14,379655.11,274611.8432258065
FNCB Bank,60103,264,145994316.62,4586815.54,553008.7750757576
FNNB Bank,25307,30,20015900.0,648753.0,667196.6666666666
FVCbank,452208,366,198613534.12,6127219.01,542659.9292896175
Fairfax State Savings Bank,24988,12,4566988.5,182982.21,380582.375
Fairfield County Bank,16447,380,174236030.54,5733596.04,458515.86984210525
Fairmont FCU,107848,2,1264251.1,37927.53,632125.55
Fairview Savings & Loan Association,79903,1,598492.5,17954.77,598492.5
Fairview State Banking Company,21369,2,343862.0,17193.1,171931.0
Fairwinds CU,94528,251,109939451.03,3586520.45,438005.78099601594
Faith Community United CU Inc.,103092,2,350055.05,17502.75,175027.525
Falcon International Bank,110490,55,22119763.11,737211.06,402177.5110909091
Falcon National Bank,328519,136,54490891.62,1970453.22,400668.3207352941
Fall River Five Cents Savings Bank d/b/a BankFive,32792,166,59601285.34,2269285.94,359043.88759036147
Families and Schools Together FCU,92133,1,229294.2,11464.71,229294.2
Family Bank,81789,6,1542700.0,69940.0,257116.66666666666
Fannin Bank,72177,4,794035.0,39701.75,198508.75
Farm Bureau Bank FSB,124054,41,16323291.25,540519.08,398129.0548780488
"Farm Credit Illinois, ACA",529023,5,1340290.0,56981.56,268058.0
"Farm Credit Services of America, ACA",528988,107,50525045.69,1683134.5,472196.68869158876
"Farm Credit Services of Colusa-Glenn, ACA",529001,8,4588004.0,157976.3,573500.5
"Farm Credit Services of Eastern Missouri, PCA",426583,14,4470183.51,183374.86,319298.8221428571
Farm Credit Services of Mid-America ACA,224538,10,2427444.0,121372.19,242744.4
"Farm Credit Services of North Dakota, ACA",292423,1,168764.0,8438.2,168764.0
"Farm Credit Southeast Missouri, ACA",529003,2,542142.6,27107.129999999997,271071.3
"Farm Credit West, PCA",528989,110,76634482.69,2064539.89,696677.1153636363
"Farm Credit of Central Florida, ACA",528986,47,24058699.29,818136.58,511887.2189361702
"Farm Credit of South Florida, ACA",470734,9,4632267.86,120353.4,514696.4288888889
"Farm Credit of the Virginias, ACA",528987,3,572133.5,28606.67,190711.16666666666
Farmers & Mechanics Federal Savings Bank,79405,5,5491709.0,101705.45,1098341.8
Farmers & Merchants Bank,19714,3,865794.0,43289.7,288598.0
Farmers & Merchants Bank,30550,109,41606842.23,1595358.04,381714.14889908256
Farmers & Merchants Bank,50827,49,17054119.88,657309.37,348043.26285714284
Farmers & Merchants Bank,57802,96,34588479.6,1288995.74,360296.66250000003
Farmers & Merchants Bank,73976,112,55173567.0,1865635.69,492621.1339285714
Farmers & Merchants Bank & Trust,24636,15,7364929.08,259461.12,490995.272
Farmers & Merchants Bank & Trust,76187,8,2220846.0,97915.86,277605.75
Farmers & Merchants Bank of Central California,5461,702,403018955.75,12361085.85,574101.0765669516
Farmers & Merchants Bank of Colby,122661,25,13230889.68,396384.94,529235.5872
Farmers & Merchants Bank of Long Beach,5479,1632,828284885.13,26755395.67,507527.5031433824
Farmers & Merchants Bank of North Dakota,52955,1,832002.0,24960.06,832002.0
Farmers & Merchants Savings Bank,25202,14,4897413.0,190942.65,349815.21428571426
Farmers & Merchants Savings Bank,25211,260,156805399.64,4579243.32,603097.6909230768
Farmers & Merchants State Bank,76867,8,3085905.95,114168.7,385738.24375
"Farmers & Merchants State Bank of New York Mills, Incorporated",38692,3,1312859.05,43666.73,437619.68333333335
Farmers & Merchants Union Bank,75733,23,14314361.2,400964.33,622363.5304347826
Farmers Bank,4353,4,1108965.0,43873.45,277241.25
Farmers Bank,20139,61,27989630.78,950031.5,458846.4062295082
Farmers Bank,249157,16,9578916.12,321306.34,598682.2575
Farmers Bank & Trust,25645,85,32965473.0,1253411.81,387829.09411764704
Farmers Bank & Trust,25692,3,2980111.45,89403.34,993370.4833333334
Farmers Bank & Trust Company,4520,146,75058389.82,2408047.31,514098.56041095883
Farmers Bank & Trust Company,27590,56,22402004.51,832042.21,400035.7948214286
Farmers Bank and Trust Company,4151,31,21590222.05,600752.85,696458.7758064517
"Farmers Bank and Trust Company, Princeton, Kentucky",27863,16,4160729.62,197677.35,260045.60125
Farmers Bank of Northern Missouri,41699,13,6717401.71,172885.02,516723.2084615385
Farmers Insurance Group FCU,91916,1,172500.0,8625.0,172500.0
Farmers National Bank,22380,15,4515767.0,182469.79,301051.13333333336
Farmers National Bank,25641,6,1727174.0,64328.7,287862.3333333333
Farmers National Bank of Griggsville,21474,1,158076.0,7903.8,158076.0
Farmers Savings Bank,24590,14,7547179.46,281320.62,539084.2471428572
Farmers Savings Bank,24787,1,273275.0,13663.75,273275.0
Farmers Savings Bank,25018,3,564897.03,28244.85,188299.01
Farmers Savings Bank,25602,4,846854.01,42342.7,211713.5025
Farmers Savings Bank,76539,29,11404823.38,361189.22,393269.77172413794
Farmers Savings Bank & Trust,25540,5,1853100.0,69413.0,370620.0
Farmers State Bank,19162,9,2760906.33,111631.52,306767.37
Farmers State Bank,19542,6,1990421.0,77498.15,331736.8333333333
Farmers State Bank,21338,4,1157144.0,50496.7,289286.0
Farmers State Bank,22339,9,2640931.76,103368.22,293436.8622222222
Farmers State Bank,23855,63,26366100.0,855827.0,418509.5238095238
Farmers State Bank,25044,6,2714025.6,100341.34,452337.60000000003
Farmers State Bank,25124,155,85471862.78,2449616.5,551431.3727741935
Farmers State Bank,25229,2,763725.0,28021.15,381862.5
Farmers State Bank,25235,120,55189400.0,1961850.0,459911.6666666667
Farmers State Bank,25608,4,1369849.7,51176.49,342462.425
Farmers State Bank,25634,1,267707.0,13385.35,267707.0
Farmers State Bank,26465,4,1187309.3900000001,50781.130000000005,296827.34750000003
Farmers State Bank,40201,8,2344653.63,101736.69,293081.70375
Farmers State Bank,42012,42,9839300.0,460025.0,234269.04761904763
Farmers State Bank,58589,27,7683504.36,309634.46,284574.23555555556
Farmers State Bank,66556,9,3052142.75,118939.91,339126.97222222225
Farmers State Bank,68713,1,151065.6,7553.28,151065.6
Farmers State Bank,69157,13,4806885.71,181700.24,369760.43923076923
Farmers State Bank,70074,15,9861291.85,272420.12,657419.4566666667
Farmers State Bank,74966,1,164594.0,8229.7,164594.0
Farmers State Bank,75989,2,515266.22000000003,18732.39,257633.11000000002
Farmers State Bank,77216,11,6058908.97,208484.78,550809.9063636364
Farmers State Bank & Trust Co,22125,8,2036411.27,90590.67,254551.40875
Farmers State Bank & Trust Co.,28165,10,3332786.3,136854.73,333278.63
"Farmers State Bank of Alto Pass, Illinois",20214,141,50934719.84,1918769.75,361239.14780141844
Farmers State Bank of Calhan,15138,18,4493851.97,208743.43,249658.44277777776
Farmers State Bank of Hamel,38204,22,9238292.0,336500.29,419922.36363636365
Farmers State Bank of Hoffman,21531,1,176900.0,8845.0,176900.0
Farmers State Bank of NewCastle,71522,8,7555991.7,163443.59,944498.9625
Farmers State Bank of Trimont,38945,1,194656.0,9732.8,194656.0
Farmers State Bank of Western Illinois,20207,4,989128.9,49456.45,247282.225
"Farmers State Bank, Allen, Oklahoma",58701,6,1660881.57,63454.14,276813.59500000003
Farmers Trust & Savings Bank,24626,3,1099898.0,36182.28,366632.6666666667
Farmers Trust & Savings Bank,24951,5,2823635.12,91539.35,564727.024
Farmers Trust & Savings Bank,25610,9,4792480.0,155107.42,532497.7777777778
Farmers Trust and Savings Bank,25490,20,5914395.9399999995,231040.3,295719.79699999996
Farmers and Drovers Bank,25781,7,2805625.77,105377.04000000001,400803.6814285714
Farmers and Merchants Bank,2074,19,5401714.5,224489.53,284300.7631578947
Farmers and Merchants Bank,3189,23,8741707.95,322876.18,380074.2586956521
Farmers and Merchants Bank,19521,62,27821411.93,907009.44,448732.450483871
Farmers and Merchants Bank,23865,16,4472581.0,175363.43,279536.3125
