,ServicingLenderName,ServicingLenderLocationID,LoanNumber,CurrentApprovalAmount,EstimatedLenderProfit,AverageLoanAmount
475,Bankwell Bank,262358,99,44757903.5,1567440.96,452100.0353535354
433,Bank of Wisconsin Dells,77050,124,44746506.67,1705243.07,360858.9247580645
1661,First Midwest Bank of the Ozarks,41225,136,44718500.0,1728577.0,328812.5
600,CIBM Bank,20240,100,44619913.94,1487774.84,446199.1394
1494,First Bank,16930,130,44498997.65,1665571.38,342299.9819230769
3639,Summit Bank,5922,86,44343754.14,1505028.26,515625.0481395349
1960,Forward Bank,79583,95,44305495.81,1508836.53,466373.64010526316
2402,Kennebec Savings Bank,29386,115,44269500.0,1618557.0,384952.17391304346
4289,Troy Bank & Trust Company,3323,87,44085293.27,1434109.01,506727.5088505747
1460,Fidelity Bank & Trust,24939,100,43988269.62,1465911.64,439882.69619999995
1098,Country Bank for Savings,33389,83,43844440.0,1368594.0,528246.265060241
2605,Martha's Vineyard Bank,32770,127,43793713.2,1715585.6,344832.3874015748
216,Arkansas Capital Corporation,224779,103,43780502.5,1625148.8,425053.42233009706
1465,Field & Main Bank,27099,99,43779901.65,1581639.86,442221.22878787876
2846,North Valley Bank,57448,92,43765719.97,1422233.49,475714.3475
3814,The Citizens Bank of Philadelphia,39670,98,43700211.55,1448413.53,445920.52602040814
1053,Community Valley Bank,450961,95,43690907.0,1447450.12,459904.2842105263
2989,Paradise Bank,434144,114,43625666.0,1591199.38,382681.2807017544
160,American Heritage Bank,59275,81,43615209.32,1350462.41,538459.3743209876
3844,The Commercial Bank,19344,89,43517791.0,1511905.55,488963.9438202247
2938,One World Bank,434037,89,43327209.32,1445162.77,486822.57662921346
735,Century Savings Bank,87134,94,43321903.19,1397469.96,460871.3105319149
1775,First Pryority Bank,59248,81,43248895.65,1369624.93,533936.9833333333
1048,Community State Bank,76852,103,43226220.05,1546277.01,419672.03932038834
3006,Passumpsic Savings Bank,73045,79,43220286.74,1275229.48,547092.2372151898
