,ServicingLenderName,ServicingLenderLocationID,OriginatingLender,LoanNumber,CurrentApprovalAmount,LenderProfit,AverageLoanAmount
25,Dubuque Bank and Trust Company,24930,New Mexico Bank & Trust,1,434200.0,13026.0,434200.0
141,The City State Bank,25875,Bankers' Bank of Kansas,1,412812.0,12384.36,412812.0
139,TPF Loan Corporation,438048,The Progress Fund,1,408300.0,12249.0,408300.0
54,Katahdin Trust Co.,29770,Northern Maine Development Commission,1,399834.15,11995.02,399834.15
87,Loan Source Incorporated,188567,Gather FCU,2,384785.0,19239.25,192392.5
144,The Stockgrowers State Bank,26152,Bankers' Bank of Kansas,1,372535.65,11176.07,372535.65
65,Loan Source Incorporated,188567,Ascend FCU,2,365631.0,18281.550000000003,182815.5
7,Bank of Colorado,15438,Pinnacle Bank,2,342172.0,17108.6,171086.0
47,Heritage Bank,323410,Bankers' Bank of Kansas,1,337197.75,16859.89,337197.75
43,Great American Bank,124363,Bankers' Bank of Kansas,1,294925.62,14746.28,294925.62
123,Pentagon FCU,107306,Sperry Associates FCU,1,272515.5,13625.78,272515.5
14,Conway Bank,25775,Bankers' Bank of Kansas,1,244438.0,12221.9,244438.0
124,Piqua State Bank,26345,Bankers' Bank of Kansas,1,237500.0,11875.0,237500.0
99,Loan Source Incorporated,188567,Orange County's CU,1,230300.0,11515.0,230300.0
57,"Lake Forest Bank & Trust Company, National Association",117732,"Wheaton Bank & Trust Company, National Association",1,220000.0,11000.0,220000.0
130,Royal Banks of Missouri,41706,First Bank,1,205495.0,10274.75,205495.0
119,"PNC Bank, National Association",44449,Celtic Bank Corporation,1,200000.0,10000.0,200000.0
26,Educators CU,108348,Altra FCU,1,193400.0,9670.0,193400.0
134,"SouthState Bank, National Association",117723,"Transportation Alliance Bank, Inc. d/b/a TAB Bank",1,192911.0,9645.55,192911.0
11,Carver Federal Savings Bank,87076,American Express National Bank,1,192880.0,9644.0,192880.0
113,MBE Capital Partners,529431,The Enterprise Center Capital Corporation,1,185765.0,9288.25,185765.0
38,Five Star Bank,124369,"Readycap Lending, LLC",1,184000.0,9200.0,184000.0
107,Loan Source Incorporated,188567,The Hicksville Bank,1,181100.0,9055.0,181100.0
23,Decorah Bank & Trust Company,24832,Minnwest Bank,1,163200.0,8160.0,163200.0
41,Franklin State Bank & Trust Company,29368,Cross Keys Bank,1,150800.0,7540.0,150800.0
